                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.69351,                 1.8904,                0.93018,                   1.12,                0.57299,                0.73024,                0.74331,                0.51716,                0.52449,                0.66853,                0.68812,                0.46065,                0.97317,                0.88566,                 1.0102,                   1.66,               0.007195,               0.007195,               0.007195
                     87,                 0.6861,                 1.8231,                 0.9205,                 1.1146,                0.63139,                0.83945,                0.81313,                0.59337,                0.59016,                0.78501,                0.76514,                0.53497,                0.96269,                0.79584,                0.95998,                 1.6753,               0.007162,               0.007162,               0.007162
                     88,                0.70903,                 1.8163,                0.93528,                 1.1353,                0.70915,                0.66161,                0.75156,                0.52477,                0.67357,                0.62302,                0.71079,                0.48579,                 0.9968,                0.78018,                0.99282,                 1.7224,               0.007129,               0.007129,               0.007129
                     89,                0.69028,                 1.8772,                0.91218,                 1.1127,                0.57695,                0.68413,                0.74487,                0.53849,                0.56919,                0.62808,                0.71636,                0.50399,                 0.9058,                0.84395,                 1.0337,                 1.6189,               0.007096,               0.007096,               0.007096
                     90,                0.70003,                 1.8521,                0.92319,                 1.1248,                0.59041,                0.58781,                0.65056,                0.45664,                0.54626,                0.55529,                0.63251,                0.43928,                 1.0201,                0.88403,                 1.0808,                 1.7277,               0.007063,               0.007063,               0.007063
                     91,                0.70347,                 1.8604,                0.93269,                 1.1276,                0.48253,                0.69048,                0.65453,                 0.4519,                0.41581,                0.65051,                0.59661,                0.41198,                 1.0932,                0.93451,                 1.1629,                  1.861,                0.00703,                0.00703,                0.00703
                     92,                0.68836,                 1.8428,                0.91035,                 1.1164,                0.72589,                0.70104,                0.78373,                0.59285,                0.69033,                0.65407,                0.73232,                0.51229,                 1.0189,                0.80966,                 1.1047,                  1.813,               0.006997,               0.006997,               0.006997
                     93,                 0.6943,                 1.7731,                 0.9105,                 1.1202,                0.68694,                0.65524,                0.76758,                0.55883,                0.65836,                0.62239,                0.73494,                0.52131,                0.91044,                0.77444,                 0.9865,                 1.6583,               0.006964,               0.006964,               0.006964
                     94,                0.68632,                 1.7347,                0.89005,                 1.1152,                0.64506,                0.79888,                0.82677,                0.61685,                0.58855,                0.72687,                0.75727,                0.52878,                0.88586,                0.78438,                0.93057,                 1.6165,               0.006931,               0.006931,               0.006931
                     95,                0.69083,                 1.8272,                0.88146,                 1.1099,                0.66492,                0.65761,                 0.8039,                 0.5653,                0.62228,                0.62488,                0.74868,                0.51874,                0.95537,                0.70995,                0.91171,                 1.6973,               0.006898,               0.006898,               0.006898
                     96,                0.69763,                 1.8385,                0.90095,                 1.1161,                0.72255,                 0.6078,                0.74942,                0.51664,                0.69965,                0.52502,                0.69743,                0.45135,                 1.0895,                0.84899,                 1.0157,                 1.7306,               0.006865,               0.006865,               0.006865
                     97,                0.69486,                 1.7831,                0.90024,                 1.1185,                0.59308,                0.81274,                0.80162,                0.57891,                0.54558,                0.75183,                0.74452,                0.52205,                 1.0316,                0.89657,                 1.0888,                 1.7385,               0.006832,               0.006832,               0.006832
                     98,                0.69606,                 1.8143,                0.89381,                  1.118,                0.52069,                0.77838,                0.77669,                0.60748,                0.46914,                0.71667,                0.72963,                0.52172,                0.97812,                0.84917,                0.99336,                 1.6845,               0.006799,               0.006799,               0.006799
                     99,                0.69188,                 1.8135,                0.89922,                 1.1154,                0.62836,                0.71774,                0.76149,                0.52761,                0.58593,                0.66293,                0.71032,                 0.4922,                 1.0935,                0.73652,                  1.005,                 1.8219,               0.006766,               0.006766,               0.006766
                    100,                0.67727,                 1.8056,                0.87031,                 1.1079,                0.70078,                0.71305,                0.72344,                0.51157,                 0.6633,                0.65781,                0.67809,                0.46404,                0.86785,                0.88848,                0.95182,                 1.5822,               0.006733,               0.006733,               0.006733
